date,temperature_2m,relative_humidity_2m,precipitation,rain,showers,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m
2025-09-28 11:00:00+00:00,19.2565,100.0,0.1,0.0,0.1,0.0,0.0,2.8799999,8.699793,9.504273,11.113451,360.0,24.443953,24.623547,24.904745,7.2
2025-09-28 12:00:00+00:00,18.9065,98.0,0.1,0.0,0.1,0.0,0.043696165,3.219938,8.905908,9.793058,11.043261,333.43503,14.036275,17.102825,19.025702,6.4799995
2025-09-28 13:00:00+00:00,18.2565,92.0,0.0,0.0,0.0,0.0,0.16784799,4.0249224,8.647496,9.422101,10.594036,296.56497,357.6141,6.581848,9.782338,9.0
2025-09-28 14:00:00+00:00,17.5565,84.0,0.0,0.0,0.0,0.0,0.32129812,5.8048253,8.427383,8.759178,9.72,277.1249,340.0168,350.53775,360.0,11.5199995
2025-09-28 15:00:00+00:00,17.456501,78.0,0.0,0.0,0.0,-0.0,0.43904376,6.849467,9.021574,9.0,9.779817,273.01273,331.38962,343.73972,353.6599,14.04
2025-09-28 16:00:00+00:00,18.3065,77.0,0.0,0.0,0.0,0.01,0.4841665,5.6920996,9.360001,9.605998,10.105681,288.43503,337.3801,347.00537,355.91446,14.4
2025-09-28 17:00:00+00:00,19.8065,77.0,0.0,0.0,0.0,0.02,0.5315219,4.6938257,10.182337,10.446206,10.805999,327.52884,351.87,358.0251,1.9091109,15.119999
2025-09-28 18:00:00+00:00,21.206501,77.0,0.0,0.0,0.0,0.050000004,0.57932353,5.8048253,10.538843,10.948973,11.013882,7.12493,7.853233,9.462261,11.3098955,15.4800005
2025-09-28 19:00:00+00:00,22.5065,74.0,0.0,0.0,0.0,0.11,0.7088535,7.289445,10.787993,11.269782,11.269782,32.905247,25.709915,26.564985,26.564985,19.8
2025-09-28 20:00:00+00:00,23.7565,71.0,0.0,0.0,0.0,0.20000002,0.8525691,9.504272,11.966954,12.218805,12.475961,52.695976,46.2188,44.999897,46.169064,23.759998
2025-09-28 21:00:00+00:00,24.706501,67.0,0.0,0.0,0.0,0.26,1.0269315,11.609651,13.891522,14.081477,14.277983,60.255207,58.781662,57.528828,56.3099,28.08
2025-09-28 22:00:00+00:00,25.3565,63.0,0.0,0.0,0.0,0.29000002,1.1968417,12.879752,15.459054,15.629971,15.807239,63.435013,62.24156,61.07368,59.93151,30.239998
2025-09-28 23:00:00+00:00,25.706501,59.0,0.0,0.0,0.0,0.3,1.3541034,13.684735,16.904673,17.068707,16.923828,63.435013,63.435013,62.354122,60.708733,32.399998
2025-09-29 00:00:00+00:00,25.6565,57.0,0.0,0.0,0.0,0.29000002,1.4160208,13.363711,17.238699,17.414474,17.10284,62.744755,61.294147,60.255207,59.656826,34.56
2025-09-29 01:00:00+00:00,25.0565,60.0,0.0,0.0,0.0,0.26,1.2711254,12.594856,16.676977,16.87398,16.575644,59.03632,57.3391,56.309914,55.6196,32.399998
2025-09-29 02:00:00+00:00,24.0565,65.0,0.0,0.0,0.0,0.21000002,1.0477428,11.304229,15.124284,15.349684,15.546833,52.765083,51.766144,50.710617,47.815628,29.88
2025-09-29 03:00:00+00:00,23.0065,71.0,0.0,0.0,0.0,0.16,0.8149507,9.673221,13.755579,14.021525,14.336861,44.999897,42.878906,41.877792,38.884502,27.72
2025-09-29 04:00:00+00:00,21.9065,79.0,0.0,0.0,0.0,0.11,0.5520098,7.289445,12.24,12.7279215,13.53236,32.905247,28.072395,28.739704,28.610369,21.96
2025-09-29 05:00:00+00:00,20.706501,88.0,0.0,0.0,0.0,0.06,0.29308462,5.4477882,11.304229,12.224107,13.1041975,7.59456,9.16228,13.627024,15.945477,15.84
2025-09-29 06:00:00+00:00,19.7565,94.0,0.0,0.0,0.0,0.02,0.13819695,4.829907,11.212135,11.885453,12.7279215,333.43503,354.47253,1.7356651,8.130019,10.08
2025-09-29 07:00:00+00:00,19.2565,93.0,0.0,0.0,0.0,0.01,0.15631199,5.3517847,10.594036,11.165805,11.928989,312.27362,350.21765,358.15244,5.19435,10.799999
2025-09-29 08:00:00+00:00,18.956501,88.0,0.0,0.0,0.0,0.01,0.26302958,5.634891,9.47012,9.726665,10.538843,296.56497,351.2539,2.1210518,7.853233,11.159999
2025-09-29 09:00:00+00:00,18.6565,84.0,0.0,0.0,0.0,0.01,0.34422803,6.0347,8.4042845,8.647496,9.47012,287.3541,350.13425,2.385899,8.746089,11.879999
2025-09-29 10:00:00+00:00,18.2565,82.0,0.0,0.0,0.0,0.01,0.3777051,6.5693827,7.5170207,7.5685663,8.311245,279.46225,343.3007,357.27374,4.969664,12.959999
2025-09-29 11:00:00+00:00,17.8065,80.0,0.0,0.0,0.0,0.01,0.40800583,6.849467,7.24486,6.9899354,7.5599995,273.01273,333.43503,348.11136,360.0,14.4
2025-09-29 12:00:00+00:00,17.4065,78.0,0.0,0.0,0.0,0.01,0.43766272,7.2,7.2,6.489992,6.87779,270.0,323.13,340.55988,353.9911,15.4800005
2025-09-29 13:00:00+00:00,16.8565,76.0,0.0,0.0,0.0,0.01,0.46116078,7.928178,7.386582,6.28713,6.924738,267.3975,316.9749,336.3706,351.02744,16.199999
2025-09-29 14:00:00+00:00,16.3065,75.0,0.0,0.0,0.0,0.01,0.46391118,8.287822,7.6367526,6.763786,7.2805495,267.5105,315.0001,334.79892,351.4693,16.56
2025-09-29 15:00:00+00:00,16.4065,73.0,0.0,0.0,0.0,0.02,0.5042286,8.28,7.6367526,6.9247384,7.342588,270.0,315.0001,332.1028,348.6901,17.28
2025-09-29 16:00:00+00:00,17.5065,70.0,0.0,0.0,0.0,0.02,0.60063934,7.5942073,7.8954163,7.289445,7.289444,275.44025,313.1524,327.09476,339.77505,18.359999
2025-09-29 17:00:00+00:00,19.206501,67.0,0.0,0.0,0.0,0.03,0.73487055,6.725354,8.404285,7.7043357,7.24486,285.52417,313.26434,322.59457,333.43503,19.08
2025-09-29 18:00:00+00:00,21.0065,64.0,0.0,0.0,0.0,0.06,0.8959069,5.1919937,7.7043357,7.10031,6.6185193,303.6901,322.59457,329.53452,337.6198,20.16
2025-09-29 19:00:00+00:00,22.9065,60.0,0.0,0.0,0.0,0.14000002,1.1175134,3.9763298,6.489992,6.5693827,6.638072,5.19435,3.179772,9.462261,12.528798,23.039999
2025-09-29 20:00:00+00:00,24.8565,56.0,0.0,0.0,0.0,0.24,1.3818147,7.7043357,9.931042,9.686609,9.931042,52.594578,46.468742,48.01287,46.468742,25.56
2025-09-29 21:00:00+00:00,26.206501,53.0,0.0,0.0,0.0,0.31,1.5989441,11.923557,14.386494,14.386494,14.277983,61.113514,58.29862,58.29862,56.3099,28.44
2025-09-29 22:00:00+00:00,26.706501,52.0,0.0,0.0,0.0,0.32,1.6817166,13.891522,17.174677,17.373497,17.283749,58.781662,56.976128,55.980614,54.323517,31.319998
2025-09-29 23:00:00+00:00,26.6565,52.0,0.0,0.0,0.0,0.29000002,1.6767888,14.982228,19.008545,19.734436,19.406637,54.782326,52.695976,51.666626,49.51408,34.2
2025-09-30 00:00:00+00:00,26.206501,55.0,0.0,0.0,0.0,0.26,1.5308408,15.072783,19.881649,20.633371,20.620804,49.844074,47.93576,47.12111,45.707233,37.079998
2025-09-30 01:00:00+00:00,25.2565,61.0,0.0,0.0,0.0,0.22,1.2541263,14.512064,19.35314,20.12461,20.150354,46.005,43.492626,42.82525,41.37842,34.56
2025-09-30 02:00:00+00:00,23.9065,70.0,0.0,0.0,0.0,0.18,0.8899524,12.768586,17.935081,18.504139,18.581022,40.425995,38.480236,37.092915,35.537766,32.399998
2025-09-30 03:00:00+00:00,22.706501,78.0,0.0,0.0,0.0,0.13,0.6070628,10.883676,15.990646,16.610792,17.238699,34.215755,31.184912,29.898815,28.705854,29.88
2025-09-30 04:00:00+00:00,21.8065,84.0,0.0,0.0,0.0,0.08,0.41799474,7.754637,13.207634,14.458382,15.716793,21.801476,17.447285,18.886187,20.095322,23.759998
2025-09-30 05:00:00+00:00,21.0065,89.0,0.0,0.0,0.0,0.04,0.27364588,4.6938252,11.212135,12.620554,14.561099,355.60138,354.47253,3.2704222,8.530692,18.0
2025-09-30 06:00:00+00:00,20.3565,92.0,0.0,0.0,0.0,0.01,0.19121838,4.3349743,10.636766,11.720751,13.32,311.63345,336.0375,349.3804,360.0,11.879999
2025-09-30 07:00:00+00:00,19.956501,90.0,0.0,0.0,0.0,-0.0,0.23320532,4.829907,9.659814,10.308831,11.885453,296.56497,333.43503,347.90527,358.26434,11.5199995
2025-09-30 08:00:00+00:00,19.6565,85.0,0.0,0.0,0.0,0.01,0.34340382,5.0142193,8.089993,8.707238,10.08,291.03757,339.14545,352.87506,360.0,10.799999
2025-09-30 09:00:00+00:00,19.456501,82.0,0.0,0.0,0.0,0.01,0.40702605,5.2416787,7.42159,7.5685663,8.647496,285.94547,345.9637,357.27374,2.385899,10.440001
2025-09-30 10:00:00+00:00,19.3065,82.0,0.0,0.0,0.0,0.01,0.40325534,5.937272,8.089993,7.69592,8.287822,284.03625,339.14545,349.21573,357.5105,11.5199995
2025-09-30 11:00:00+00:00,19.1565,85.0,0.0,0.0,0.0,0.01,0.33291626,6.28713,9.021574,8.766573,9.0645685,283.24054,331.38962,340.8209,353.15732,12.599999
2025-09-30 12:00:00+00:00,19.0065,86.0,0.0,0.0,0.0,0.01,0.30783272,6.638072,9.885262,9.360001,9.114471,282.5288,326.88864,337.3801,350.9098,13.679999
2025-09-30 13:00:00+00:00,18.5065,86.0,0.0,0.0,0.0,0.01,0.29838467,6.87779,9.290511,8.891344,8.759178,276.0089,324.46225,338.6293,350.53775,13.679999
2025-09-30 14:00:00+00:00,18.0065,86.0,0.0,0.0,0.0,0.01,0.2891909,7.2,8.287822,7.968939,7.9526596,270.0,325.6196,341.56494,354.80566,13.679999
2025-09-30 15:00:00+00:00,18.0565,85.0,0.0,0.0,0.0,0.01,0.31082392,6.8399997,7.10031,6.9899354,7.5685663,270.0,329.53452,348.11136,357.27374,13.679999
2025-09-30 16:00:00+00:00,19.1565,83.0,0.0,0.0,0.0,0.01,0.37731493,5.1544156,6.9527545,6.924738,7.208994,282.09473,338.74942,351.02744,357.13766,14.04
2025-09-30 17:00:00+00:00,20.9065,80.0,0.0,0.0,0.0,0.01,0.49456525,3.8268526,6.9899354,7.208994,7.208994,318.81415,348.11136,357.13766,357.13766,14.4
2025-09-30 18:00:00+00:00,22.5565,76.0,0.0,0.0,0.0,0.04,0.6562886,4.3349743,7.208994,7.2359104,7.2359104,4.763556,2.8623457,5.7105074,5.7105074,14.759999
2025-09-30 19:00:00+00:00,24.0065,70.0,0.0,0.0,0.0,0.11,0.8952992,5.991594,7.729527,7.729527,7.5685663,32.73523,27.758451,27.758451,25.346138,18.359999
2025-09-30 20:00:00+00:00,25.3565,63.0,0.0,0.0,0.0,0.21000002,1.1968417,8.209263,9.686609,9.931042,9.673221,52.124958,48.01287,46.468742,44.999897,21.599998
2025-09-30 21:00:00+00:00,26.3065,59.0,0.0,0.0,0.0,0.28000003,1.4028871,10.495713,11.983188,12.181624,11.885453,59.03632,57.264786,55.840256,54.865723,25.199999
2025-09-30 22:00:00+00:00,26.706501,58.0,0.0,0.0,0.0,0.3,1.4713149,11.792404,13.891522,14.081477,13.979872,58.736336,58.781662,57.528828,55.491425,27.0
2025-09-30 23:00:00+00:00,26.706501,60.0,0.0,0.0,0.0,0.29000002,1.4011924,12.783802,15.575981,15.778516,15.778516,57.652576,56.3099,55.222095,55.222095,29.16
2025-10-01 00:00:00+00:00,26.3565,63.0,0.0,0.0,0.0,0.26,1.2696455,12.682018,15.986593,16.199999,16.418526,55.407658,54.16227,53.13002,52.124958,30.960001
2025-10-01 01:00:00+00:00,25.5065,68.0,0.0,0.0,0.0,0.22,1.0442421,11.808878,15.349684,15.349684,15.546833,52.431335,50.710617,50.710617,47.815628,28.44
2025-10-01 02:00:00+00:00,24.3065,74.0,0.0,0.0,0.0,0.17,0.78991675,10.195057,13.493999,13.746156,14.021525,47.862484,46.080845,44.999897,41.877792,26.28
2025-10-01 03:00:00+00:00,23.1065,80.0,0.0,0.0,0.0,0.12,0.56534743,8.435069,11.592894,11.885453,12.287555,39.805527,36.158287,35.134277,31.827414,23.759998
2025-10-01 04:00:00+00:00,22.0065,86.0,0.0,0.0,0.0,0.08,0.3702109,5.95906,9.793058,10.587917,11.177405,25.016869,17.102825,17.818983,14.931467,19.08
2025-10-01 05:00:00+00:00,20.956501,91.0,0.0,0.0,0.0,0.04,0.22320056,4.452954,9.885262,10.853866,11.542478,345.9637,349.50858,354.2895,356.42374,14.04
2025-10-01 06:00:00+00:00,20.206501,93.0,0.0,0.0,0.0,0.01,0.16577458,4.8433046,11.113451,11.841756,12.313893,311.98712,335.09525,340.46326,344.7448,9.36
2025-10-01 07:00:00+00:00,20.0565,90.0,0.0,0.0,0.0,-0.0,0.2346499,5.495161,11.91812,12.181625,12.661564,301.60745,334.98312,341.02948,345.17346,10.08
2025-10-01 08:00:00+00:00,20.206501,85.0,0.0,0.0,0.0,0.01,0.35527253,5.495161,11.726277,12.496719,12.7279215,301.60745,342.12122,348.3664,351.87,11.159999
2025-10-01 09:00:00+00:00,20.3565,81.0,0.0,0.0,0.0,0.01,0.4542166,5.495161,11.792404,12.324414,12.620554,301.60745,347.66092,353.29025,356.72958,11.879999
2025-10-01 10:00:00+00:00,20.3565,82.0,0.0,0.0,0.0,0.01,0.43030393,5.1919937,11.304229,11.928989,12.245294,303.6901,350.8377,354.80566,358.31534,11.159999
2025-10-01 11:00:00+00:00,20.3065,85.0,0.0,0.0,0.0,0.01,0.35746884,4.8433046,10.538843,11.183201,11.165805,311.98712,352.14676,356.3087,358.15244,10.440001
2025-10-01 12:00:00+00:00,20.206501,88.0,0.0,0.0,0.0,0.01,0.28420568,4.6102495,9.779817,10.446206,10.799999,321.34018,353.6599,358.0251,360.0,9.72
2025-10-01 13:00:00+00:00,20.0065,90.0,0.1,0.0,0.1,0.01,0.23392749,4.6102495,9.422101,10.08,10.853866,321.34018,353.41815,360.0,5.7105074,9.72
2025-10-01 14:00:00+00:00,19.8065,93.0,0.1,0.0,0.1,-0.0,0.16173148,4.6102495,9.3876505,10.105681,11.090103,321.34018,355.60138,4.085537,13.134034,9.72
2025-10-01 15:00:00+00:00,19.706501,94.0,0.1,0.0,0.1,-0.0,0.1377697,4.510787,9.3669195,10.538843,11.726277,331.38962,357.79745,7.853233,17.87879,9.72
2025-10-01 16:00:00+00:00,19.7565,95.0,0.0,0.0,0.0,0.0,0.115161896,5.0911684,9.746631,11.367109,12.522619,351.87,4.23632,10.954029,18.435053,12.959999
2025-10-01 17:00:00+00:00,19.9065,95.0,0.0,0.0,0.0,0.0,0.11623478,6.638072,10.041354,12.313893,13.450708,12.528798,14.534496,15.255177,15.524177,16.199999
2025-10-01 18:00:00+00:00,20.4065,92.0,0.0,0.0,0.0,0.01,0.19180727,8.225035,11.298495,13.32,14.241629,23.198618,22.47948,18.924751,16.144413,19.44
2025-10-01 19:00:00+00:00,21.5565,84.0,0.0,0.0,0.0,0.07000001,0.41167307,9.826088,12.7279215,14.182355,15.042659,28.442837,28.739704,23.962492,21.037588,23.039999
2025-10-01 20:00:00+00:00,23.0065,73.0,0.0,0.0,0.0,0.15,0.7587211,11.183201,14.57889,15.141414,15.778518,33.178535,32.905247,28.392921,27.149609,27.0
2025-10-01 21:00:00+00:00,24.0565,65.0,0.0,0.0,0.0,0.21000002,1.0477428,12.599998,16.279802,16.676977,16.981165,36.86999,35.09589,32.660904,32.005356,30.599998
2025-10-01 22:00:00+00:00,24.456501,64.0,0.0,0.0,0.0,0.24,1.1037761,14.05845,18.504139,18.875126,19.171478,39.805527,37.092915,34.90257,34.286938,33.48
2025-10-01 23:00:00+00:00,24.456501,66.0,0.0,0.0,0.0,0.26,1.0424161,15.580141,20.523157,21.599998,21.67786,40.314034,37.875053,36.86998,35.537766,36.36
